"Command Line by Magefan","Командний рядок від Magefan"
"You don't have permission to execute this command.","У вас немає дозволу на виконання цієї команди."
"Error: Cannot run this command due to security reasons.","Помилка: з міркувань безпеки цю команду не буде виконано."
"cd command is not supported.","Команда cd не підтримується."
"Command not found or error occurred.","Команду не знайдено або сталася помилка."
"Please enter your password.","Введіть свій пароль."
"Commands will be executed by custom PHP binary: ","Команди будуть виконані by custom PHP binary: "
"-- None --","-- Жоден --"
"There are no allowed commands to execute for the current user.","Немає дозволених команд для поточного користувача."
"Current User Identity Verification","Підтвердження поточного користувача"
"Enter Command:","Введіть команду:"
"This command line is not accessible. Exec function is not allowed in PHP settings. Please use the standard CLI interface.","Цей командний рядок недоступний. Функція Exec заборонена в налаштуваннях PHP. Будь ласка, використовуйте стандартний інтерфейс CLI."
"Most Used Commands","Найчастіше використовувані команди"
"Unexpected error. Please refresh the page or try later.","Неочікувана помилка. Оновіть сторінку або спробуйте пізніше."
"Execute Command:","Виконати команду:"
"Command Line","Командний рядок"
"Command Line Admin","Адміністратор командного рядка"
"Command Line Interface","Інтерфейс командного рядка"
"General Configuration","Загальні налаштування"
"Enable Extension","Увімкнути розширення"
"Product Key","Ключ продукту"
"PHP Command","Команда PHP"
"If you use some custom PHP binary you can enter PHP command here. E.g. /usr/bin/php7.2 -dmemory_limit=-1.","Якщо потрібно виконати команду з custom PHP binary ви можете ввести її тут. Наприклад: /usr/bin/php7.2 -dmemory_limit=-1."
"Most Used Magento 2 Commands","Найчастіше використовувані команди Magento 2"
"Allowed Commands For Managers","Дозволені команди для менеджерів"
"Admin users with no ""Command Line Admin"" access will be able to run only these commands.","Користувачі з правами адміністратора, що не мають доступу ""Адміністратор командного рядка"", зможуть виконувати лише ці команди."
"Magefan Command Line Interface is disabled, to enable the extension please navigate to ","Інтерфейс командного рядка від Magefan вимкнений, щоб увімкнути розширення, перейдіть до "
